"source","target","context"
"eBalance Settings","eBalance Тохиргоо",""
"Connection","Холболт",""
"Environment","Орчин",""
"Staging = Test environment (st-inspector-ebalance.mof.gov.mn), Production = Live environment (inspector-ebalance.mof.gov.mn)","Staging = Туршилтын орчин (st-inspector-ebalance.mof.gov.mn), Production = Бодит орчин (inspector-ebalance.mof.gov.mn)",""
"Enable eBalance integration. If disabled, no API calls will be made.","eBalance интеграцийг идэвхжүүлэх. Унтраавал API дуудлага хийхгүй.",""
"Enabled","Идэвхтэй",""
"Authentication (ITC OAuth2)","Нэвтрэлт (ITC OAuth2)",""
"Auth URL","Нэвтрэлтийн URL",""
"ITC OAuth2 Server URL","ITC OAuth2 Серверийн URL",""
"Username","Хэрэглэгчийн нэр",""
"ITC SSO username (e.g., AA10010110). Login name provided by Ministry of Finance for eBalance system.","ITC SSO хэрэглэгчийн нэр (жишээ нь: АА10010110). Сангийн яамнаас олгосон eBalance системд нэвтрэх нэр.",""
"Password","Нууц үг",""
"ITC SSO password. Stored encrypted in Frappe system.","ITC SSO нууц үг. Frappe системд шифрлэгдсэн хэлбэрээр хадгалагдана.",""
"Organization RegNo","Байгууллагын регистр",""
"Organization registration number (7-digit number, e.g., 1234567). TIN registration number.","Байгууллагын регистрийн дугаар (7 оронтой тоо, жишээ нь: 1234567). ТҮЦ-ийн бүртгэлийн дугаар.",""
"User RegNo","Хэрэглэгчийн регистр",""
"User registration number. Auto-filled from Username if empty.","Хэрэглэгчийн регистрийн дугаар. Хоосон үед Username-аас автоматаар авна.",""
"User Role ID","Хэрэглэгчийн эрхийн ID",""
"User role ID automatically retrieved from eBalance API. Updated when Test Connection is clicked.","eBalance API-аас автоматаар авсан хэрэглэгчийн эрхийн ID. Test Connection дарахад шинэчлэгдэнэ.",""
"API Connection","API Холболт",""
"API URL","API URL",""
"Auto-set based on environment","Орчноос хамааран автоматаар тохируулагдана",""
"Test Connection","Холболт шалгах",""
"Connection Status","Холболтын төлөв",""
"Company Settings","Компанийн тохиргоо",""
"Company","Компани",""
"ERPNext company. Financial reports will be generated from this company's GL Entries.","ERPNext-ийн компани. Санхүүгийн тайланг энэ компанийн GL Entry-ээс үүсгэнэ.",""
"Default Fiscal Year","Үндсэн санхүүгийн жил",""
"Default fiscal year for reports. Automatically selected when generating reports.","Тайлангийн үндсэн санхүүгийн жил. Тайлан үүсгэхэд автоматаар сонгогдоно.",""
"Automation","Автоматжуулалт",""
"Period Sync","Үе синхрон",""
"Auto Sync Report Periods","Тайлант үеүдийг автоматаар татах",""
"Automatically sync report periods from eBalance. Report periods include year-end, half-year, etc.","eBalance-аас тайлант үеүдийг автоматаар татах. Тайлант үе: жилийн эцэс, хагас жил гэх мэт.",""
"Sync Frequency","Синхроны давтамж",""
"How often to check for new report periods (hourly, daily, or weekly).","Тайлант үеүдийг хэр давтамжтай шалгах (цаг тутам, өдөр бүр, долоо хоног бүр).",""
"Hourly","Цаг тутам",""
"Daily","Өдөр бүр",""
"Weekly","Долоо хоног бүр",""
"Last Sync","Сүүлийн синхрон",""
"Next Sync","Дараагийн синхрон",""
"Auto Processing","Автомат боловсруулалт",""
"Auto Fetch Report Forms","Тайлангийн маягтыг автоматаар татах",""
"Automatically fetch report form structures (Balance Sheet, Income Statement, Cash Flow) from eBalance.","Тайлангийн маягт (СБТ, ОҮТ, МГТ)-ийн бүтцийг eBalance-аас автоматаар татах.",""
"Auto Map Accounts","Дансыг автоматаар холбох",""
"Automatically map ERPNext accounts to MOF account codes based on account number and name matching.","ERPNext дансыг MOF дансны кодтой автоматаар холбох. Дансны дугаар, нэрээр таарна.",""
"Notify on Submission","Илгээсний дараа мэдэгдэл",""
"Send email notification after report submission.","Тайлан илгээсний дараа имэйлээр мэдэгдэл илгээх.",""
"Notification Email","Мэдэгдлийн имэйл",""
"Email address to receive notifications.","Мэдэгдэл хүлээн авах имэйл хаяг.",""
"Webhooks","Вебхүк",""
"Enable Webhooks","Вебхүк идэвхжүүлэх",""
"Webhook Secret","Вебхүкийн нууц",""
"Advanced","Нэмэлт",""
"Debug & Logging","Дебаг & Бүртгэл",""
"Debug Mode","Дебаг горим",""
"Enable debug mode. Logs detailed API requests and responses.","Debug горимыг идэвхжүүлэх. API хүсэлт, хариултыг дэлгэрэнгүй бичнэ.",""
"Log API Requests","API хүсэлтийг бичих",""
"Log API requests to eBalance Submission Log.","API хүсэлтүүдийг eBalance Submission Log-д бичих.",""
"Log Retention (Days)","Бүртгэл хадгалах (хоног)",""
"Number of days to retain logs. Old logs are automatically deleted.","Бүртгэлийг хэдэн хоног хадгалах. Хуучин бүртгэлүүд автоматаар устана.",""
"Performance","Гүйцэтгэл",""
"Request Timeout (seconds)","Хүсэлтийн хугацаа (секунд)",""
"API request timeout in seconds. Slow responses will result in an error.","API хүсэлтийн хугацааны хязгаар (секунд). Удаан хариу өгвөл алдаа гарна.",""
"Retry Attempts","Дахин оролдлого",""
"Number of retry attempts on API error. Applies to 500, 502, 503 errors.","API алдаа гарвал дахин оролдох тоо. 500, 502, 503 алдаанд хамаарна.",""
"Connection Pool Size","Холболтын сангийн хэмжээ",""
"HTTP connection pool size. Used for concurrent API requests.","HTTP холболтын сан. Олон хүсэлт зэрэг илгээхэд хэрэглэнэ.",""
"Token Cache (Internal)","Токен кэш (дотоод)",""
"Access Token","Хандалтын токен",""
"Token Expiry","Токены хугацаа",""
"Refresh Token","Шинэчлэх токен",""
"eBalance Report Period","eBalance Тайлант үе",""
"eBalance Report Request","eBalance Тайлангийн хүсэлт",""
"eBalance Submission Log","eBalance Илгээлтийн бүртгэл",""
"MOF Account Mapping","СЯ Дансны холболт",""
"MOF Account Mapping Item","СЯ Дансны холболтын мөр",""
"MOF Report Form Row","СЯ Тайлангийн маягтын мөр",""
"MOF Report Form Row Account","СЯ Тайлангийн маягтын дансны мөр",""
"Balance Sheet","Санхүүгийн байдлын тайлан",""
"Income Statement","Орлогын тайлан",""
"Cash Flow","Мөнгөн гүйлгээний тайлан",""
"Year-end","Жилийн эцэс",""
"Half-year","Хагас жил",""
"Report Period","Тайлант үе",""
"Fiscal Year","Санхүүгийн жил",""
"Actions","Үйлдлүүд",""
"Sync Periods","Үеүдийг синхронлох",""
"Import MOF Accounts","СЯ дансыг импортлох",""
"Auto-Map ERPNext Accounts","ERPNext дансыг автоматаар холбох",""
"Preview Auto-Map","Автомат холболтыг урьдчилан харах",""
"Connection successful!","Холболт амжилттай!",""
"Connection failed","Холболт амжилтгүй",""
"Test Connection","Холболт шалгах",""
"Clear Token Cache","Токен кэшийг цэвэрлэх",""
"Token cache cleared","Токен кэш цэвэрлэгдлээ",""
